rg,rn,ta,vpd,swc,ts,rh,pm2_5,pm2_5_raw,pm2_5_pred
6.04343,-58.5894,-2.77,276.043,0.170405,2.3,41.1614,18.42318305785124,,
26.2848,-35.6859,-2.43,300.438,0.169744,2.3,38.6424,26.104207172995785,,
54.384,-9.66272,0.591,424.191,0.170289,2.3,28.011,31.75526020408164,,
115.872,65.322,0.249,417.262,0.169645,2.3,30.4901,17.855655000000002,,
183.749,130.714,0.218,401.135,0.169655,2.3,34.7928,20.51051111111111,,
244.703,185.111,2.299,519.779,0.169615,2.3,27.5495,17.43682619047619,,
298.657,233.575,4.579,679.977,0.16971,2.3,19.0113,76.7666,,
345.404,275.997,6.306,789.806,0.169614,2.3,15.1335,80.1968,,
368.171,301.611,6.305,782.529,0.169747,2.3,15.319,83.627,,
394.866,316.552,6.427,795.144,0.169382,2.3,15.2102,83.61224999999999,,
400.931,308.191,6.641,810.508,0.169697,2.3,15.2573,83.5975,,
382.283,277.138,7.109,836.54,0.170037,2.3,14.8793,82.4308,,
358.544,247.319,7.507,864.828,0.170049,2.3,13.9621,81.2641,,
280.723,186.728,7.668,882.22,0.169801,2.3,13.083,81.21799999999999,,
244.86,163.715,7.693,873.604,0.169565,2.3,13.0335,81.1719,,
185.856,119.791,7.919,892.495,0.170049,2.3,12.4577,77.52895,,
112.753,36.1179,7.877,884.654,0.169689,2.393,12.204,73.886,,
60.4451,-17.6049,7.66,860.378,0.169778,2.4,12.4675,73.89165,,
17.4898,-61.2979,6.886,791.864,0.169699,2.4,13.6352,73.8973,,
2.19692,-74.4722,6.56,767.922,0.169783,2.4,13.8817,74.34315000000001,,
1.23774,-68.7702,5.094,685.252,0.169946,2.46,15.6256,74.789,,
1.23779,-71.0962,5.542,705.27,0.169821,2.5,15.0369,74.75355,,
1.24958,-68.4236,4.398,641.422,0.170076,2.5,16.3057,74.7181,,
1.23276,-73.4107,5.228,697.676,0.170266,2.5,13.8707,71.9163,,
